Date,EWCOV_250
2011-07-08,-110868.063671
2011-07-07,-111046.899524
2011-07-06,-111176.165384
2011-07-05,-111328.747033
2011-07-04,-111477.010062
2011-07-01,-111599.5495
2011-06-30,-111679.627006
2011-06-29,-111670.935255
2011-06-28,-111573.36606
2011-06-27,-111431.062976
2011-06-24,-111263.827338
2011-06-23,-111072.769324
2011-06-22,-110980.576708
2011-06-21,-110890.970096
2011-06-20,-110719.093952
2011-06-17,-110568.518
2011-06-16,-110401.511317
2011-06-15,-110278.222251
2011-06-14,-110216.037691
2011-06-13,-110124.523937
2011-06-10,-110025.521318
2011-06-09,-110017.958437
2011-06-08,-109963.56212
2011-06-07,-109965.884305
2011-06-06,-109967.82193
2011-06-03,-109962.517287
2011-06-02,-109951.02104
2011-06-01,-110021.788679
2011-05-31,-110156.025938
2011-05-27,-110240.838998
2011-05-26,-110268.976259
2011-05-25,-110287.360004
2011-05-24,-110295.105466
2011-05-23,-110281.240449
2011-05-20,-110381.776517
2011-05-19,-110491.688377
2011-05-18,-110570.73005
2011-05-17,-110588.412621
2011-05-16,-110670.448867
2011-05-13,-110756.369741
2011-05-12,-110863.242189
2011-05-11,-111003.230078
2011-05-10,-111188.594978
2011-05-09,-111299.644737
2011-05-06,-111446.96839
2011-05-05,-111539.227172
2011-05-04,-111697.84988
2011-05-03,-111958.348273
2011-04-28,-112208.842636
2011-04-27,-112460.643381
2011-04-26,-112716.684291
2011-04-21,-112924.279346
2011-04-20,-113138.581991
2011-04-19,-113229.206746
2011-04-18,-113294.552182
2011-04-15,-113488.341758
2011-04-14,-113652.237274
2011-04-13,-113865.431549
2011-04-12,-114035.077586
2011-04-11,-114296.708329
2011-04-08,-114563.867834
2011-04-07,-114785.392475
2011-04-06,-115043.675146
2011-04-05,-115270.767315
2011-04-04,-115510.671069
2011-04-01,-115746.352764
2011-03-31,-115883.023469
2011-03-30,-116061.617232
2011-03-29,-116226.424198
2011-03-28,-116365.640456
2011-03-25,-116503.253231
2011-03-24,-116622.919522
2011-03-23,-116658.872289
2011-03-22,-116662.655199
2011-03-21,-116691.064478
2011-03-18,-116652.163791
2011-03-17,-116591.781974
2011-03-16,-116433.236849
2011-03-15,-116372.306222
2011-03-14,-116392.435991
2011-03-11,-116467.665195
2011-03-10,-116561.240016
2011-03-09,-116749.31343
2011-03-08,-116977.70671
2011-03-07,-117207.934475
2011-03-04,-117457.752824
2011-03-03,-117725.403851
2011-03-02,-117905.288219
2011-03-01,-118108.693346
2011-02-28,-118373.40775
2011-02-25,-118648.514238
2011-02-24,-118844.98624
2011-02-23,-119047.572475
2011-02-22,-119326.682695
2011-02-21,-119627.187376
2011-02-18,-119999.861572
2011-02-17,-120380.972508
2011-02-16,-120764.035741
2011-02-15,-121102.59667
2011-02-14,-121468.069736
2011-02-11,-121840.30885
2011-02-10,-122173.301291
2011-02-09,-122542.53584
2011-02-08,-122955.057413
2011-02-07,-123331.276749
2011-02-04,-123657.495438
2011-02-03,-123973.129136
2011-02-02,-124309.241017
2011-02-01,-124606.420864
2011-01-31,-124811.333482
2011-01-28,-125037.54861
2011-01-27,-125350.961049
2011-01-26,-125672.03182
2011-01-25,-125944.775851
2011-01-24,-126247.129071
2011-01-21,-126504.936533
2011-01-20,-126737.194658
2011-01-19,-127082.000237
2011-01-18,-127510.923532
2011-01-17,-127873.032155
2011-01-14,-128255.58904
2011-01-13,-128664.201803
2011-01-12,-129104.11989
2011-01-11,-129511.584709
2011-01-10,-129865.166915
2011-01-07,-130250.822071
2011-01-06,-130676.065622
2011-01-05,-131130.328799
2011-01-04,-131559.007746
2010-12-31,-131877.222266
2010-12-30,-132270.671842
2010-12-29,-132693.893704
2010-12-24,-133134.123373
2010-12-23,-133565.994243
2010-12-22,-133989.640783
2010-12-21,-134385.74352
2010-12-20,-134725.352304
2010-12-17,-135048.737864
2010-12-16,-135385.10363
2010-12-15,-135726.287997
2010-12-14,-136080.293121
2010-12-13,-136407.505516
2010-12-10,-136690.170219
2010-12-09,-136971.073192
2010-12-08,-137241.632013
2010-12-07,-137529.484479
2010-12-06,-137782.150218
2010-12-03,-138012.652629
2010-12-02,-138268.493614
2010-12-01,-138401.29276
2010-11-30,-138421.049328
2010-11-29,-138464.854945
2010-11-26,-138628.665828
2010-11-25,-138825.243064
2010-11-24,-138982.271522
2010-11-23,-139065.16045
2010-11-22,-139250.022382
2010-11-19,-139489.79485
2010-11-18,-139768.689588
2010-11-17,-139974.121232
2010-11-16,-140171.425016
2010-11-15,-140510.934053
2010-11-12,-140830.489346
2010-11-11,-141172.066369
2010-11-10,-141519.108669
2010-11-09,-141928.714763
2010-11-08,-142317.216488
2010-11-05,-142735.450757
2010-11-04,-143145.351165
2010-11-03,-143444.837921
2010-11-02,-143756.205696
2010-11-01,-144007.778031
2010-10-29,-144242.823236
2010-10-28,-144483.486073
2010-10-27,-144694.933752
2010-10-26,-144970.880208
2010-10-25,-145295.110169
2010-10-22,-145612.267279
2010-10-21,-145949.612398
2010-10-20,-146261.442216
2010-10-19,-146551.583921
2010-10-18,-146883.974153
2010-10-15,-147180.628163
2010-10-14,-147504.664132
2010-10-13,-147852.673081
2010-10-12,-148117.996158
2010-10-11,-148397.345123
2010-10-08,-148665.027011
2010-10-07,-148940.403132
2010-10-06,-149238.454161
2010-10-05,-149493.940941
2010-10-04,-149672.046893
2010-10-01,-149889.787832
2010-09-30,-150065.629902
2010-09-29,-150264.758657
2010-09-28,-150475.667963
2010-09-27,-150684.239192
2010-09-24,-150920.79533
2010-09-23,-151108.446698
2010-09-22,-151303.451892
2010-09-21,-151525.526606
2010-09-20,-151776.90433
2010-09-17,-151936.554164
2010-09-16,-152130.348173
2010-09-15,-152342.331291
2010-09-14,-152568.919896
2010-09-13,-152796.421261
2010-09-10,-152962.344725
2010-09-09,-153123.149502
2010-09-08,-153221.235843
2010-09-07,-153299.042155
2010-09-06,-153410.133658
2010-09-03,-153511.936338
2010-09-02,-153558.006108
2010-09-01,-153600.817
2010-08-31,-153502.645651
2010-08-27,-153380.904251
2010-08-26,-153213.025168
2010-08-25,-152998.033001
2010-08-24,-152829.296318
2010-08-23,-152739.645285
2010-08-20,-152610.464925
2010-08-19,-152497.383519
2010-08-18,-152476.737604
2010-08-17,-152504.916219
2010-08-16,-152459.33161
2010-08-13,-152413.68327
2010-08-12,-152359.301609
2010-08-11,-152284.423309
2010-08-10,-152342.205424
2010-08-09,-152435.83358
2010-08-06,-152452.494492
2010-08-05,-152503.965532
2010-08-04,-152577.421882
2010-08-03,-152662.859006
2010-08-02,-152750.595222
2010-07-30,-152699.826911
2010-07-29,-152706.108653
2010-07-28,-152719.194667
2010-07-27,-152779.763298
2010-07-26,-152827.109188
2010-07-23,-152837.034162
2010-07-22,-152849.256525
2010-07-21,-152762.588304
2010-07-20,-152600.528772
2010-07-19,-152447.046272
2010-07-16,-152304.024154
2010-07-15,-152213.682179
2010-07-14,-152166.161554
2010-07-13,-152136.907832
2010-07-12,-152003.59183
2010-07-09,-151835.839154
2010-07-08,-151640.127019
2010-07-07,-151352.422417
2010-07-06,-151013.214966
2010-07-05,-150529.654444
2010-07-02,-150057.935203
2010-07-01,-149550.875646
2010-06-30,-149152.743723
2010-06-29,-148749.7003
2010-06-28,-148503.192671
2010-06-25,-148230.310685
2010-06-24,-148010.376233
2010-06-23,-147868.612186
2010-06-22,-147795.767706
2010-06-21,-147775.864635
2010-06-18,-147708.121781
2010-06-17,-147643.967739
2010-06-16,-147564.177922
2010-06-15,-147464.493808
2010-06-14,-147349.190947
2010-06-11,-147195.261558
2010-06-10,-147009.653217
2010-06-09,-146776.587781
2010-06-08,-146484.394108
2010-06-07,-146232.190848
2010-06-04,-146036.326919
2010-06-03,-145925.782155
2010-06-02,-145754.97639
2010-06-01,-145595.903108
2010-05-28,-145461.861767
2010-05-27,-145334.60644
2010-05-26,-145048.975166
2010-05-25,-144663.875368
2010-05-24,-144406.625773
2010-05-21,-144141.564133
2010-05-20,-143885.663443
2010-05-19,-143714.398089
2010-05-18,-143693.163536
2010-05-17,-143627.606616
2010-05-14,-143562.93438
2010-05-13,-143670.922608
2010-05-12,-143730.183031
2010-05-11,-143741.231489
2010-05-10,-143807.004031
2010-05-07,-143607.789204
