Date,Equity,Peak,Drawdown
2012-04-12,64.2504528321,113.229781664,0.432565780063
2012-04-11,64.2504528321,113.229781664,0.432565780063
2012-04-10,64.2504528321,113.229781664,0.432565780063
2012-04-05,64.2504528321,113.229781664,0.432565780063
2012-04-04,64.2504528321,113.229781664,0.432565780063
2012-04-03,64.2504528321,113.229781664,0.432565780063
2012-04-02,64.2504528321,113.229781664,0.432565780063
2012-03-30,64.2504528321,113.229781664,0.432565780063
2012-03-29,64.2504528321,113.229781664,0.432565780063
2012-03-28,64.2504528321,113.229781664,0.432565780063
2012-03-27,64.2504528321,113.229781664,0.432565780063
2012-03-26,64.2504528321,113.229781664,0.432565780063
2012-03-23,64.2504528321,113.229781664,0.432565780063
2012-03-22,64.2504528321,113.229781664,0.432565780063
2012-03-21,64.2504528321,113.229781664,0.432565780063
2012-03-20,64.2504528321,113.229781664,0.432565780063
2012-03-19,64.2504528321,113.229781664,0.432565780063
2012-03-16,64.2504528321,113.229781664,0.432565780063
2012-03-15,64.2504528321,113.229781664,0.432565780063
2012-03-14,64.2504528321,113.229781664,0.432565780063
2012-03-13,64.2504528321,113.229781664,0.432565780063
2012-03-12,64.2504528321,113.229781664,0.432565780063
2012-03-09,64.2504528321,113.229781664,0.432565780063
2012-03-08,64.2504528321,113.229781664,0.432565780063
2012-03-07,64.2504528321,113.229781664,0.432565780063
2012-03-06,64.2504528321,113.229781664,0.432565780063
2012-03-05,65.4650803528,113.229781664,0.421838677151
2012-03-02,65.8695847472,113.229781664,0.41826625664
2012-03-01,66.0946808566,113.229781664,0.416278298118
2012-02-29,65.428307226,113.229781664,0.422163442652
2012-02-28,66.0567933926,113.229781664,0.416612904999
2012-02-27,65.9186155829,113.229781664,0.417833235972
2012-02-24,66.1370256692,113.229781664,0.415904325724
2012-02-23,66.1682271101,113.229781664,0.415628767117
2012-02-22,65.9297589547,113.229781664,0.417734822184
2012-02-21,66.0601364042,113.229781664,0.416583380862
2012-02-20,66.2506880611,113.229781664,0.414900505084
2012-02-17,65.8027245168,113.229781664,0.418856739369
2012-02-16,65.5832000933,113.229781664,0.420795490996
2012-02-15,65.6589750212,113.229781664,0.420126277237
2012-02-14,65.7447789837,113.229781664,0.419368491067
2012-02-13,65.8094105398,113.229781664,0.418797691096
2012-02-10,65.2154688256,113.229781664,0.424043146006
2012-02-09,65.695748148,113.229781664,0.419801511735
2012-02-08,65.4773380617,113.229781664,0.421730421984
2012-02-07,65.6378026149,113.229781664,0.420313263434
2012-02-06,65.6589750212,113.229781664,0.420126277237
2012-02-03,65.7581510298,113.229781664,0.419250394521
2012-02-02,64.5880969961,113.229781664,0.429583842281
2012-02-01,64.5279227886,113.229781664,0.430115276738
2012-01-31,63.3121809308,113.229781664,0.440852221029
2012-01-30,63.1951755274,113.229781664,0.441885565805
2012-01-27,63.8905219246,113.229781664,0.435744545422
2012-01-26,64.5780679615,113.229781664,0.429672414691
2012-01-25,63.7735165212,113.229781664,0.436777890198
2012-01-24,64.0955599648,113.229781664,0.433933731719
2012-01-23,64.4376614775,113.229781664,0.430912428422
2012-01-20,63.8348050658,113.229781664,0.436236614363
2012-01-19,63.9752115499,113.229781664,0.434996600632
2012-01-18,63.9752115499,113.229781664,0.434996600632
2012-01-17,63.9752115499,113.229781664,0.434996600632
2012-01-16,63.9752115499,113.229781664,0.434996600632
2012-01-13,63.9752115499,113.229781664,0.434996600632
2012-01-12,63.9752115499,113.229781664,0.434996600632
2012-01-11,63.9752115499,113.229781664,0.434996600632
2012-01-10,63.9752115499,113.229781664,0.434996600632
2012-01-09,63.9752115499,113.229781664,0.434996600632
2012-01-06,63.9752115499,113.229781664,0.434996600632
2012-01-05,63.9752115499,113.229781664,0.434996600632
2012-01-04,63.9752115499,113.229781664,0.434996600632
2012-01-03,63.9752115499,113.229781664,0.434996600632
2011-12-30,63.9752115499,113.229781664,0.434996600632
2011-12-29,63.9752115499,113.229781664,0.434996600632
2011-12-28,63.9752115499,113.229781664,0.434996600632
2011-12-23,63.9752115499,113.229781664,0.434996600632
2011-12-22,63.9752115499,113.229781664,0.434996600632
2011-12-21,63.9752115499,113.229781664,0.434996600632
2011-12-20,63.9752115499,113.229781664,0.434996600632
2011-12-19,63.9752115499,113.229781664,0.434996600632
2011-12-16,63.9752115499,113.229781664,0.434996600632
2011-12-15,63.9752115499,113.229781664,0.434996600632
2011-12-14,63.9752115499,113.229781664,0.434996600632
2011-12-13,63.9752115499,113.229781664,0.434996600632
2011-12-12,63.9752115499,113.229781664,0.434996600632
2011-12-09,63.9752115499,113.229781664,0.434996600632
2011-12-08,63.9752115499,113.229781664,0.434996600632
2011-12-07,63.9752115499,113.229781664,0.434996600632
2011-12-06,63.9752115499,113.229781664,0.434996600632
2011-12-05,63.9752115499,113.229781664,0.434996600632
2011-12-02,63.9752115499,113.229781664,0.434996600632
2011-12-01,63.9752115499,113.229781664,0.434996600632
2011-11-30,63.9752115499,113.229781664,0.434996600632
2011-11-29,66.0596107344,113.229781664,0.416588023366
2011-11-28,66.3618915988,113.229781664,0.413918400057
2011-11-25,68.322427508,113.229781664,0.396603733541
2011-11-24,68.8190153008,113.229781664,0.392218069403
2011-11-23,68.6560510177,113.229781664,0.393657304565
2011-11-22,67.783823133,113.229781664,0.401360471275
2011-11-21,67.579374369,113.229781664,0.403166080727
2011-11-18,67.579374369,113.229781664,0.403166080727
2011-11-17,67.579374369,113.229781664,0.403166080727
2011-11-16,67.579374369,113.229781664,0.403166080727
2011-11-15,67.579374369,113.229781664,0.403166080727
2011-11-14,67.579374369,113.229781664,0.403166080727
2011-11-11,67.579374369,113.229781664,0.403166080727
2011-11-10,67.579374369,113.229781664,0.403166080727
2011-11-09,67.579374369,113.229781664,0.403166080727
2011-11-08,67.579374369,113.229781664,0.403166080727
2011-11-07,67.579374369,113.229781664,0.403166080727
2011-11-04,67.579374369,113.229781664,0.403166080727
2011-11-03,67.579374369,113.229781664,0.403166080727
2011-11-02,67.579374369,113.229781664,0.403166080727
2011-11-01,67.579374369,113.229781664,0.403166080727
2011-10-31,67.579374369,113.229781664,0.403166080727
2011-10-28,67.579374369,113.229781664,0.403166080727
2011-10-27,67.579374369,113.229781664,0.403166080727
2011-10-26,67.579374369,113.229781664,0.403166080727
2011-10-25,67.579374369,113.229781664,0.403166080727
2011-10-24,67.579374369,113.229781664,0.403166080727
2011-10-21,67.579374369,113.229781664,0.403166080727
2011-10-20,67.579374369,113.229781664,0.403166080727
2011-10-19,67.579374369,113.229781664,0.403166080727
2011-10-18,67.579374369,113.229781664,0.403166080727
2011-10-17,67.579374369,113.229781664,0.403166080727
2011-10-14,67.579374369,113.229781664,0.403166080727
2011-10-13,67.579374369,113.229781664,0.403166080727
2011-10-12,67.579374369,113.229781664,0.403166080727
2011-10-11,67.579374369,113.229781664,0.403166080727
2011-10-10,67.579374369,113.229781664,0.403166080727
2011-10-07,67.579374369,113.229781664,0.403166080727
2011-10-06,67.579374369,113.229781664,0.403166080727
2011-10-05,67.579374369,113.229781664,0.403166080727
2011-10-04,67.579374369,113.229781664,0.403166080727
2011-10-03,67.579374369,113.229781664,0.403166080727
2011-09-30,67.579374369,113.229781664,0.403166080727
2011-09-29,67.579374369,113.229781664,0.403166080727
2011-09-28,67.579374369,113.229781664,0.403166080727
2011-09-27,67.579374369,113.229781664,0.403166080727
2011-09-26,67.579374369,113.229781664,0.403166080727
2011-09-23,67.579374369,113.229781664,0.403166080727
2011-09-22,67.579374369,113.229781664,0.403166080727
2011-09-21,67.579374369,113.229781664,0.403166080727
2011-09-20,67.579374369,113.229781664,0.403166080727
2011-09-19,67.579374369,113.229781664,0.403166080727
2011-09-16,67.579374369,113.229781664,0.403166080727
2011-09-15,67.579374369,113.229781664,0.403166080727
2011-09-14,67.579374369,113.229781664,0.403166080727
2011-09-13,67.579374369,113.229781664,0.403166080727
2011-09-12,67.579374369,113.229781664,0.403166080727
2011-09-09,67.579374369,113.229781664,0.403166080727
2011-09-08,67.579374369,113.229781664,0.403166080727
2011-09-07,67.579374369,113.229781664,0.403166080727
2011-09-06,67.579374369,113.229781664,0.403166080727
2011-09-05,67.579374369,113.229781664,0.403166080727
2011-09-02,67.579374369,113.229781664,0.403166080727
2011-09-01,67.579374369,113.229781664,0.403166080727
2011-08-31,67.579374369,113.229781664,0.403166080727
2011-08-30,67.579374369,113.229781664,0.403166080727
2011-08-26,67.579374369,113.229781664,0.403166080727
2011-08-25,67.579374369,113.229781664,0.403166080727
2011-08-24,67.579374369,113.229781664,0.403166080727
2011-08-23,67.579374369,113.229781664,0.403166080727
2011-08-22,67.579374369,113.229781664,0.403166080727
2011-08-19,67.579374369,113.229781664,0.403166080727
2011-08-18,67.579374369,113.229781664,0.403166080727
2011-08-17,67.579374369,113.229781664,0.403166080727
2011-08-16,67.579374369,113.229781664,0.403166080727
2011-08-15,67.579374369,113.229781664,0.403166080727
2011-08-12,67.579374369,113.229781664,0.403166080727
2011-08-11,67.579374369,113.229781664,0.403166080727
2011-08-10,67.579374369,113.229781664,0.403166080727
2011-08-09,67.579374369,113.229781664,0.403166080727
2011-08-08,67.579374369,113.229781664,0.403166080727
2011-08-05,67.579374369,113.229781664,0.403166080727
2011-08-04,67.579374369,113.229781664,0.403166080727
2011-08-03,67.579374369,113.229781664,0.403166080727
2011-08-02,67.579374369,113.229781664,0.403166080727
2011-08-01,67.579374369,113.229781664,0.403166080727
2011-07-29,67.579374369,113.229781664,0.403166080727
2011-07-28,67.579374369,113.229781664,0.403166080727
2011-07-27,67.579374369,113.229781664,0.403166080727
2011-07-26,67.579374369,113.229781664,0.403166080727
2011-07-25,67.579374369,113.229781664,0.403166080727
2011-07-22,67.579374369,113.229781664,0.403166080727
2011-07-21,67.579374369,113.229781664,0.403166080727
2011-07-20,67.579374369,113.229781664,0.403166080727
2011-07-19,67.579374369,113.229781664,0.403166080727
2011-07-18,67.579374369,113.229781664,0.403166080727
2011-07-15,67.579374369,113.229781664,0.403166080727
2011-07-14,67.579374369,113.229781664,0.403166080727
2011-07-13,67.579374369,113.229781664,0.403166080727
2011-07-12,67.579374369,113.229781664,0.403166080727
2011-07-11,68.2725552068,113.229781664,0.397044185695
2011-07-08,68.9795536028,113.229781664,0.390800259533
2011-07-07,69.7153385784,113.229781664,0.384302101851
2011-07-06,69.7153385784,113.229781664,0.384302101851
2011-07-05,69.7153385784,113.229781664,0.384302101851
2011-07-04,69.7153385784,113.229781664,0.384302101851
2011-07-01,69.7153385784,113.229781664,0.384302101851
2011-06-30,69.7153385784,113.229781664,0.384302101851
2011-06-29,69.7153385784,113.229781664,0.384302101851
2011-06-28,69.7153385784,113.229781664,0.384302101851
2011-06-27,69.7153385784,113.229781664,0.384302101851
2011-06-24,69.7153385784,113.229781664,0.384302101851
2011-06-23,69.7153385784,113.229781664,0.384302101851
2011-06-22,69.7153385784,113.229781664,0.384302101851
2011-06-21,69.7153385784,113.229781664,0.384302101851
2011-06-20,69.7153385784,113.229781664,0.384302101851
2011-06-17,69.7153385784,113.229781664,0.384302101851
2011-06-16,69.7153385784,113.229781664,0.384302101851
2011-06-15,69.7153385784,113.229781664,0.384302101851
2011-06-14,69.7153385784,113.229781664,0.384302101851
2011-06-13,69.7153385784,113.229781664,0.384302101851
2011-06-10,69.7153385784,113.229781664,0.384302101851
