Start Date,End Date,Start Equity,End Equity,Trades Entered,Winning Trades Entered,Win Ratio,Positive Months,CAGR,RAR,RAR Error,Max Drawdown,Max Drawdown Days,MAR Ratio,MAR Regressed,Sharpe Ratio,Sharpe CAGR,Sharpe Benchmark,Sortino Ratio
2012-01-02,2012-05-10,767.0247533248396,680.9758467561214,1,0,0.0,0.0,-0.20594703044231022,-0.17015166546749497,0.05867672942803198,0.4714147946048996,70,-0.43687010420391614,-0.360938323138759,-3.351371526784079,-4.280423527816884,-1.7648790968468058,-1.2242168817868517
2011-01-03,2012-01-02,553.0574084481691,767.0247533248396,4,2,0.5,0.45454545454545453,0.25185599032881734,0.6947885017527513,0.06280432301444944,0.39015495118104543,137,0.6455281153460165,1.7808014473468654,0.784631110194867,0.47916989583306296,1.629521136685489,0.6014546988081003
2010-01-04,2011-01-03,581.1694647572372,553.0574084481691,3,1,0.3333333333333333,0.16666666666666666,-0.03347933407081316,-0.010505245450704373,0.006255578054839337,0.18475272237502363,189,-0.18121158725257933,-0.056861113144412084,-1.4481217762326348,-1.5613032776218572,-0.5557293884617651,-0.7370536302259555
2009-01-05,2010-01-04,592.3919025027309,581.1694647572372,4,2,0.5,0.25,-0.013050102876801861,-0.24145767407476051,0.018415576378548584,0.20416347656610612,189,-0.06391986998015468,-1.1826683113743848,-0.05783462642297784,-0.1595685129280012,0.20845069234963864,0.15737265584671192
2008-01-02,2009-01-05,419.8905190547053,592.3919025027309,4,2,0.5,0.4166666666666667,0.2626093485875538,0.4079664473234582,0.03412402042238907,0.21258734817094477,182,1.2353009285217933,1.919053277786814,1.0727390076765555,0.8870051437343891,1.8412365943708229,1.2612831831671756
2007-01-03,2008-01-02,362.5971133692929,419.8905190547053,5,2,0.4,0.5833333333333334,0.10600745344738405,0.2124080682673118,0.009386416284963768,0.3023145401328953,197,0.35065284455317275,0.7026061934498378,0.8937636201551152,0.8217858625413098,-1.132780011094491,1.4298747755075734
2006-01-02,2007-01-03,392.6544829946995,362.5971133692929,4,2,0.5,0.3333333333333333,-0.05294427392015144,-0.07037519747310077,0.0280670784300698,0.30919560655949113,175,-0.17123229695686068,-0.22760736562911074,-0.13647245554710452,-0.31098503413546136,-0.3833188248520513,7.539853124752156e-05
2005-01-03,2006-01-02,270.2384068922442,392.6544829946995,5,4,0.8,0.5833333333333334,0.29254211741721514,0.35562196858356127,0.01455795365791341,0.0875423620249923,156,3.341720632734331,4.062284365619875,1.8503662761782318,1.5902341303078134,-0.7692265414231146,5.125480404831318
2004-01-05,2005-01-03,198.79862840628434,270.2384068922442,3,2,0.6666666666666666,0.6666666666666666,0.23473948201913664,0.2940358877373009,0.01751783000691279,0.08541325202898252,152,2.7482794114838827,3.442508987218146,2.13131221963078,1.8603396989505945,-0.6799259228507895,2.5482818005901193
2003-01-02,2004-01-05,168.9729464106046,198.79862840628434,4,4,1.0,0.6666666666666666,0.1167587901434497,0.20612723142326173,0.004415246015325785,0.05844035568374195,169,1.9979137494526213,3.527138550263925,1.552045314302321,1.460696019405293,-1.0175109761987533,3.383916087154998
2002-01-02,2003-01-02,169.025643724194,168.9729464106046,5,2,0.4,0.16666666666666666,-0.00021355234978881477,-0.003641682544269011,0.001027982094673705,0.0625493140206296,198,-0.0034141437541326566,-0.058220982936246675,-6.60131133390999,-6.772850087980069,-1.184053995503181,0.08592996951461095
2001-01-02,2002-01-02,172.99094481716952,169.025643724194,3,0,0.0,0.08333333333333333,-0.015757280614916547,-0.034568021012696216,0.0016040687354707864,0.058146713033284295,188,-0.27099176880207787,-0.5944965623922511,-3.691742402118775,-3.818081213317669,0.06272287598450416,-0.9442767498004968
2000-01-03,2001-01-02,164.21148566213913,172.99094481716952,1,1,1.0,0.16666666666666666,0.03631799949029002,0.01997799661229461,0.003551771364008695,0.04129937734573838,182,0.879383705624744,0.4837360245179606,0.37400805348233057,0.34181923940580244,-0.24365963781289485,2.4587275383864915
1999-01-04,2000-01-03,102.97977284531486,164.21148566213913,3,2,0.6666666666666666,0.9166666666666666,0.3777924219218327,0.3579266703507428,0.009436811487654849,0.04671012294685175,129,8.088020285275139,7.662721649394995,2.9127067890348313,2.4428374185111164,0.14882291046825086,8.211805156880024
1998-01-01,1999-01-04,96.36451102395785,102.97977284531486,5,2,0.4,0.3333333333333333,0.04613772551552375,0.02875828987002192,0.00664443681029347,0.07612086427960993,200,0.6061114249313957,0.37779773183323195,0.15218535495008775,0.11393685193853259,0.036829095180254956,0.6657629489738519
1997-08-11,1998-01-01,100.0,96.36451102395785,2,1,0.5,0.16666666666666666,-0.0626903668701353,-0.07158682294862632,0.015614849578541198,0.06269118493166913,62,-0.9999869509320214,-1.1418961537679195,-1.821863091897405,-1.9384380787380409,-0.5592494068564721,-0.7625375112636432
