Date,EWGRAD_250
2011-07-27,-1.05743330783
2011-07-26,-1.05157835656
2011-07-25,-1.04563291225
2011-07-22,-1.04010380973
2011-07-21,-1.03345065558
2011-07-20,-1.025603116
2011-07-19,-1.01663248843
2011-07-18,-1.007334089
2011-07-15,-0.999465816978
2011-07-14,-0.991740719732
2011-07-13,-0.985627948022
2011-07-12,-0.978553265096
2011-07-11,-0.973280065929
2011-07-08,-0.97035471558
2011-07-07,-0.970443970076
2011-07-06,-0.968207948286
2011-07-05,-0.967000365015
2011-07-04,-0.965581305822
2011-07-01,-0.963029598546
2011-06-30,-0.95882784868
2011-06-29,-0.952002361017
2011-06-28,-0.943641535226
2011-06-27,-0.934946317965
2011-06-24,-0.926212420779
2011-06-23,-0.917516022418
2011-06-22,-0.909516062443
2011-06-21,-0.901616275875
2011-06-20,-0.893170204897
2011-06-17,-0.884884060367
2011-06-16,-0.876603585765
2011-06-15,-0.868647832947
2011-06-14,-0.861457171223
2011-06-13,-0.853944821556
2011-06-10,-0.846415614947
2011-06-09,-0.840330019519
2011-06-08,-0.833478448889
2011-06-07,-0.827671365548
2011-06-06,-0.821891350713
2011-06-03,-0.816005143606
2011-06-02,-0.810040994464
2011-06-01,-0.805926150227
2011-05-31,-0.803644401988
2011-05-27,-0.799911458054
2011-05-26,-0.794824926288
2011-05-25,-0.789561938912
2011-05-24,-0.784119770345
2011-05-23,-0.778323488063
2011-05-20,-0.775052502662
2011-05-19,-0.772036169624
2011-05-18,-0.768221801798
2011-05-17,-0.763088468177
2011-05-16,-0.759367940843
2011-05-13,-0.755748979649
2011-05-12,-0.752660211834
2011-05-11,-0.750467203867
2011-05-10,-0.749633123518
2011-05-09,-0.746647108161
2011-05-06,-0.744640873469
2011-05-05,-0.741190183318
2011-05-04,-0.739490794801
2011-05-03,-0.7411345335
2011-04-28,-0.742410165971
2011-04-27,-0.743728924184
2011-04-26,-0.745198994184
2011-04-21,-0.744976994092
2011-04-20,-0.744965136251
2011-04-19,-0.741438170395
2011-04-18,-0.737356019909
2011-04-15,-0.736626271366
2011-04-14,-0.734995685737
2011-04-13,-0.734850781596
2011-04-12,-0.733366689785
2011-04-11,-0.734835735961
2011-04-08,-0.736501669396
2011-04-07,-0.736589806638
2011-04-06,-0.737922249637
2011-04-05,-0.738177823185
2011-04-04,-0.738853874205
2011-04-01,-0.739378084927
2011-03-31,-0.736930875103
2011-03-30,-0.735632574786
2011-03-29,-0.733931144417
2011-03-28,-0.731534492287
2011-03-25,-0.729092066899
2011-03-24,-0.726202092798
2011-03-23,-0.721570967315
2011-03-22,-0.716434778948
2011-03-21,-0.711724186897
2011-03-18,-0.706075046327
2011-03-17,-0.700229587391
2011-03-16,-0.693741714821
2011-03-15,-0.687989923161
2011-03-14,-0.683308652482
2011-03-11,-0.67958298396
2011-03-10,-0.676218551069
2011-03-09,-0.674980777123
2011-03-08,-0.674805657428
2011-03-07,-0.674670517525
2011-03-04,-0.67508281738
2011-03-03,-0.676014999341
2011-03-02,-0.674531460016
2011-03-01,-0.673633032972
2011-02-28,-0.674430246506
2011-02-25,-0.675532999206
2011-02-24,-0.674431844791
2011-02-23,-0.673476401348
2011-02-22,-0.67465513084
2011-02-21,-0.676495744516
2011-02-18,-0.680809447126
2011-02-17,-0.685482934804
2011-02-16,-0.690285341871
2011-02-15,-0.693507030299
2011-02-14,-0.697731955322
2011-02-11,-0.702256600757
2011-02-10,-0.70537489568
2011-02-09,-0.70986235146
2011-02-08,-0.716145188121
2011-02-07,-0.721036104227
2011-02-04,-0.724065406957
2011-02-03,-0.726727604193
2011-02-02,-0.730158802502
2011-02-01,-0.732194824135
2011-01-31,-0.731293155601
2011-01-28,-0.731002767385
2011-01-27,-0.733578943193
2011-01-26,-0.736446216931
2011-01-25,-0.737626208333
2011-01-24,-0.739825612635
2011-01-21,-0.740509637382
2011-01-20,-0.740377770372
2011-01-19,-0.744138191904
2011-01-18,-0.751478058475
2011-01-17,-0.756048709603
2011-01-14,-0.7615288387
2011-01-13,-0.768236490356
2011-01-12,-0.776531996527
2011-01-11,-0.783441216843
2011-01-10,-0.788038599142
2011-01-07,-0.794113230675
2011-01-06,-0.802177881576
2011-01-05,-0.811900964892
2011-01-04,-0.820496444851
2010-12-31,-0.823989397322
2010-12-30,-0.831004455393
2010-12-29,-0.839677134762
2010-12-24,-0.849458132998
2010-12-23,-0.858990180056
2010-12-22,-0.868266180958
2010-12-21,-0.876203047976
2010-12-20,-0.881322919312
2010-12-17,-0.885701558811
2010-12-16,-0.890762554729
2010-12-15,-0.896123802677
2010-12-14,-0.902215369261
2010-12-13,-0.90699879579
2010-12-10,-0.909665521426
2010-12-09,-0.912261449988
2010-12-08,-0.914392061334
2010-12-07,-0.91732952593
2010-12-06,-0.918674508266
2010-12-03,-0.919067439489
2010-12-02,-0.920537525436
