Date,EWMA_250
2011-03-31,6695.5
2011-03-30,6694.5
2011-03-29,6693.5
2011-03-28,6692.5
2011-03-25,6691.5
2011-03-24,6690.5
2011-03-23,6689.5
2011-03-22,6688.5
2011-03-21,6687.5
2011-03-18,6686.5
2011-03-17,6685.5
2011-03-16,6684.5
2011-03-15,6683.5
2011-03-14,6682.5
2011-03-11,6681.5
2011-03-10,6680.5
2011-03-09,6679.5
2011-03-08,6678.5
2011-03-07,6677.5
2011-03-04,6676.5
2011-03-03,6675.5
2011-03-02,6674.5
2011-03-01,6673.5
2011-02-28,6672.5
2011-02-25,6671.5
2011-02-24,6670.5
2011-02-23,6669.5
2011-02-22,6668.5
2011-02-21,6667.5
2011-02-18,6666.5
2011-02-17,6665.5
2011-02-16,6664.5
2011-02-15,6663.5
2011-02-14,6662.5
2011-02-11,6661.5
2011-02-10,6660.5
2011-02-09,6659.5
2011-02-08,6658.5
2011-02-07,6657.5
2011-02-04,6656.5
2011-02-03,6655.5
2011-02-02,6654.5
2011-02-01,6653.5
2011-01-31,6652.5
2011-01-28,6651.5
2011-01-27,6650.5
2011-01-26,6649.5
2011-01-25,6648.5
2011-01-24,6647.5
2011-01-21,6646.5
2011-01-20,6645.5
2011-01-19,6644.5
2011-01-18,6643.5
2011-01-17,6642.5
2011-01-14,6641.5
2011-01-13,6640.5
2011-01-12,6639.5
2011-01-11,6638.5
2011-01-10,6637.5
2011-01-07,6636.5
2011-01-06,6635.5
2011-01-05,6634.5
2011-01-04,6633.5
2010-12-31,6632.5
2010-12-30,6631.5
2010-12-29,6630.5
2010-12-24,6629.5
2010-12-23,6628.5
2010-12-22,6627.5
2010-12-21,6626.5
2010-12-20,6625.5
2010-12-17,6624.5
2010-12-16,6623.5
2010-12-15,6622.5
2010-12-14,6621.5
2010-12-13,6620.5
2010-12-10,6619.5
2010-12-09,6618.5
2010-12-08,6617.5
2010-12-07,6616.5
2010-12-06,6615.5
2010-12-03,6614.5
2010-12-02,6613.5
2010-12-01,6612.5
2010-11-30,6611.5
2010-11-29,6610.5
2010-11-26,6609.5
2010-11-25,6608.5
2010-11-24,6607.5
2010-11-23,6606.5
2010-11-22,6605.5
2010-11-19,6604.5
2010-11-18,6603.5
2010-11-17,6602.5
2010-11-16,6601.5
2010-11-15,6600.5
2010-11-12,6599.5
2010-11-11,6598.5
2010-11-10,6597.5
2010-11-09,6596.5
2010-11-08,6595.5
2010-11-05,6594.5
2010-11-04,6593.5
2010-11-03,6592.5
2010-11-02,6591.5
2010-11-01,6590.5
2010-10-29,6589.5
2010-10-28,6588.5
2010-10-27,6587.5
2010-10-26,6586.5
2010-10-25,6585.5
2010-10-22,6584.5
2010-10-21,6583.5
2010-10-20,6582.5
2010-10-19,6581.5
2010-10-18,6580.5
2010-10-15,6579.5
2010-10-14,6578.5
2010-10-13,6577.5
2010-10-12,6576.5
2010-10-11,6575.5
2010-10-08,6574.5
2010-10-07,6573.5
2010-10-06,6572.5
2010-10-05,6571.5
2010-10-04,6570.5
2010-10-01,6569.5
2010-09-30,6568.5
2010-09-29,6567.5
2010-09-28,6566.5
2010-09-27,6565.5
2010-09-24,6564.5
2010-09-23,6563.5
2010-09-22,6562.5
2010-09-21,6561.5
2010-09-20,6560.5
2010-09-17,6559.5
2010-09-16,6558.5
2010-09-15,6557.5
2010-09-14,6556.5
2010-09-13,6555.5
2010-09-10,6554.5
2010-09-09,6553.5
2010-09-08,6552.5
2010-09-07,6551.5
2010-09-06,6550.5
2010-09-03,6549.5
2010-09-02,6548.5
2010-09-01,6547.5
2010-08-31,6546.5
2010-08-27,6545.5
2010-08-26,6544.5
2010-08-25,6543.5
2010-08-24,6542.5
2010-08-23,6541.5
2010-08-20,6540.5
2010-08-19,6539.5
2010-08-18,6538.5
2010-08-17,6537.5
2010-08-16,6536.5
2010-08-13,6535.5
2010-08-12,6534.5
2010-08-11,6533.5
2010-08-10,6532.5
2010-08-09,6531.5
2010-08-06,6530.5
2010-08-05,6529.5
2010-08-04,6528.5
2010-08-03,6527.5
2010-08-02,6526.5
2010-07-30,6525.5
2010-07-29,6524.5
2010-07-28,6523.5
2010-07-27,6522.5
2010-07-26,6521.5
2010-07-23,6520.5
2010-07-22,6519.5
2010-07-21,6518.5
2010-07-20,6517.5
2010-07-19,6516.5
2010-07-16,6515.5
2010-07-15,6514.5
2010-07-14,6513.5
2010-07-13,6512.5
2010-07-12,6511.5
2010-07-09,6510.5
2010-07-08,6509.5
2010-07-07,6508.5
2010-07-06,6507.5
2010-07-05,6506.5
2010-07-02,6505.5
2010-07-01,6504.5
2010-06-30,6503.5
2010-06-29,6502.5
2010-06-28,6501.5
2010-06-25,6500.5
2010-06-24,6499.5
2010-06-23,6498.5
2010-06-22,6497.5
2010-06-21,6496.5
2010-06-18,6495.5
2010-06-17,6494.5
2010-06-16,6493.5
2010-06-15,6492.5
2010-06-14,6491.5
2010-06-11,6490.5
2010-06-10,6489.5
2010-06-09,6488.5
2010-06-08,6487.5
2010-06-07,6486.5
2010-06-04,6485.5
2010-06-03,6484.5
2010-06-02,6483.5
2010-06-01,6482.5
2010-05-28,6481.5
2010-05-27,6480.5
2010-05-26,6479.5
2010-05-25,6478.5
2010-05-24,6477.5
2010-05-21,6476.5
2010-05-20,6475.5
2010-05-19,6474.5
2010-05-18,6473.5
2010-05-17,6472.5
2010-05-14,6471.5
2010-05-13,6470.5
2010-05-12,6469.5
2010-05-11,6468.5
2010-05-10,6467.5
2010-05-07,6466.5
2010-05-06,6465.5
2010-05-05,6464.5
2010-05-04,6463.5
2010-04-30,6462.5
2010-04-29,6461.5
2010-04-28,6460.5
2010-04-27,6459.5
2010-04-26,6458.5
2010-04-23,6457.5
2010-04-22,6456.5
2010-04-21,6455.5
2010-04-20,6454.5
2010-04-19,6453.5
2010-04-16,6452.5
2010-04-15,6451.5
2010-04-14,6450.5
2010-04-13,6449.5
2010-04-12,6448.5
2010-04-09,6447.5
2010-04-08,6446.5
2010-04-07,6445.5
2010-04-06,6444.5
2010-04-01,6443.5
2010-03-31,6442.5
2010-03-30,6441.5
2010-03-29,6440.5
2010-03-26,6439.5
2010-03-25,6438.5
2010-03-24,6437.5
2010-03-23,6436.5
2010-03-22,6435.5
2010-03-19,6434.5
2010-03-18,6433.5
