Date,Equity,Debt,Return
2012-04-20,81.5878822004,0.0,0.0
2012-03-30,81.5878822004,0.0,0.0
2012-02-29,81.5878822004,0.0,0.0
2012-01-31,81.5878822004,0.0,0.0
2011-12-30,81.5878822004,0.0,0.0
2011-11-30,81.5878822004,0.0,0.0
2011-10-31,81.5878822004,0.0,0.0
2011-09-30,81.5878822004,0.0,0.0
2011-08-31,81.5878822004,0.0,0.0
2011-07-29,81.5878822004,0.0,0.0
2011-06-30,81.5878822004,0.0,0.0
2011-05-31,81.5878822004,0.0,0.0
2011-04-28,81.5878822004,0.0,0.0
2011-03-31,81.5878822004,0.0,0.0
2011-02-28,81.5878822004,0.0,0.0
2011-01-31,81.5878822004,0.0,0.0
2010-12-31,81.5878822004,0.0,0.0
2010-11-30,81.5878822004,0.0,0.0
2010-10-29,81.5878822004,0.0,0.0
2010-09-30,81.5878822004,0.0,0.0
2010-08-31,81.5878822004,0.0,0.0
2010-07-30,81.5878822004,0.0,0.0
2010-06-30,81.5878822004,0.0,0.0
2010-05-28,81.5878822004,0.0,0.0
2010-04-30,81.5878822004,0.0,0.0
2010-03-31,81.5878822004,0.0,0.0
2010-02-26,81.5878822004,0.0,0.0
2010-01-29,81.5878822004,0.0,0.0
2009-12-31,81.5878822004,0.0,0.0
2009-11-30,81.5878822004,0.0,0.0
2009-10-30,81.5878822004,0.0,0.0
2009-09-30,81.5878822004,0.0,0.0
2009-08-28,81.5878822004,0.0,0.0
2009-07-31,81.5878822004,0.0,0.0
2009-06-30,81.5878822004,0.0,0.0
2009-05-29,81.5878822004,0.0,0.0
2009-04-30,81.5878822004,0.0,0.0
2009-03-31,81.5878822004,0.0,0.0
2009-02-27,81.5878822004,0.0,0.0
2009-01-30,81.5878822004,0.0,0.025162599302
2008-12-31,79.5853089607,0.0,-0.0425261893933
2008-11-28,83.1200896349,0.0,-0.0028492088369
2008-10-31,83.357592825,0.0,0.063592895304
2008-09-30,78.3735893621,0.0,0.0119021926941
2008-08-29,77.4517437831,0.0,0.0
2008-07-31,77.4517437831,0.0,-0.0380383583061
2008-06-30,80.5143785637,0.0,-0.0706368216737
2008-05-30,86.6339235741,0.0,-0.00555254382054
2008-04-30,87.1176481329,0.0,0.0675540590305
2008-03-31,81.6049055277,0.0,0.0282205712638
2008-02-29,79.3651749521,0.0,0.0
2008-01-31,79.3651749521,0.0,0.0
2007-12-31,79.3651749521,0.0,0.0
2007-11-30,79.3651749521,0.0,0.0
2007-10-31,79.3651749521,0.0,0.0
2007-09-28,79.3651749521,0.0,0.0
2007-08-31,79.3651749521,0.0,0.0
2007-07-31,79.3651749521,0.0,0.0
2007-06-29,79.3651749521,0.0,0.0
2007-05-31,79.3651749521,0.0,0.0
2007-04-30,79.3651749521,0.0,0.0
2007-03-30,79.3651749521,0.0,0.0
2007-02-28,79.3651749521,0.0,0.0
2007-01-31,79.3651749521,0.0,0.00686406892998
2006-12-29,78.8241207539,0.0,0.0284353921436
2006-11-30,76.6446986909,0.0,-0.0131175357309
