Date,Position,Equity,Debt
2012-05-10,1,188.52759331348778,0.0
2012-05-09,1,190.03606594916445,0.0
2012-05-08,1,191.34989695443122,0.0
2012-05-07,1,188.38733684451594,0.0
2012-05-03,1,180.82779940462586,0.0
2012-05-02,1,178.59800778566546,0.0
2012-04-30,1,182.97458209297022,0.0
2012-04-26,1,182.825738493245,0.0
2012-04-24,1,181.78669567208632,0.0
2012-04-23,1,186.79585527822329,0.0
2012-04-19,1,168.32493702770802,0.0
2012-04-18,1,165.70586214792783,0.0
2012-04-17,1,166.82505152278472,0.0
2012-04-12,1,170.71788413098255,0.0
2012-04-11,1,156.7838332951685,0.0
2012-04-10,1,156.50332035722482,0.0
2012-04-09,1,160.90279367987196,0.0
2012-04-05,1,178.97011678497844,0.0
2012-04-04,1,179.1447217769638,0.0
2012-04-03,1,184.69487062056353,0.0
2012-04-02,1,186.87886420883925,0.0
2012-03-29,1,194.41264025646922,0.0
2012-03-28,1,196.19017632241838,0.0
2012-03-27,1,193.38218456606393,0.0
2012-03-26,1,187.9436684222581,0.0
2012-03-22,1,208.97927639111546,0.0
2012-03-21,1,209.7635676665906,0.0
2012-03-20,1,205.84783604305036,0.0
2012-03-19,1,201.28806961300685,0.0
2012-03-15,1,212.3082207465081,0.0
2012-03-14,1,206.5176322418138,0.0
2012-03-13,1,203.18868788642106,0.0
2012-03-12,1,218.75715594229467,0.0
2012-03-08,1,232.65685825509522,0.0
2012-03-07,1,238.20414472177717,0.0
2012-03-06,1,236.73574536294956,0.0
2012-03-05,1,229.84886649874076,0.0
2012-03-01,1,230.70185482024294,0.0
2012-02-29,1,227.7249828257387,0.0
2012-02-28,1,217.62079230593102,0.0
2012-02-27,1,217.11128921456393,0.0
2012-02-23,1,208.92489122967726,0.0
2012-02-22,1,197.72727272727283,0.0
2012-02-21,1,199.05827799404636,0.0
2012-02-20,1,208.87336844515698,0.0
2012-02-16,1,194.7790245019465,0.0
2012-02-15,1,197.02885275933144,0.0
2012-02-14,1,200.9503091367072,0.0
2012-02-13,1,200.4951912067782,0.0
2012-02-09,1,167.9270666361347,0.0
2012-02-08,1,165.42821158690185,0.0
2012-02-07,1,155.9680558735975,0.0
2012-02-06,1,150.4493931760935,0.0
2012-02-02,1,154.18765743073052,0.0
2012-02-01,1,163.9397755896497,0.0
2012-01-31,1,162.41412869246628,0.0
2012-01-30,1,153.00263338676444,0.0
2012-01-26,1,146.14437829173355,0.0
2012-01-24,1,121.76837645981232,0.0
2012-01-19,1,107.51087703228768,0.0
2012-01-18,1,111.43233340966346,0.0
