Date,Equity,Debt,Return
2012-05-10,680.9758467561214,0.0,0.0
2012-04-30,680.9758467561214,0.0,-0.07102871181010062
2012-03-29,733.0429426758742,0.0,0.0
2012-02-29,733.0429426758742,0.0,0.0
2012-01-31,733.0429426758742,0.0,-0.06697515214759198
2011-12-29,785.6628302699091,0.0,-0.0675566885817791
2011-11-30,842.585088711653,0.0,-0.18440156442786337
2011-10-31,1033.088161971014,0.0,-0.1239722486535112
2011-09-28,1179.2870264476408,0.0,0.37341676236271115
2011-08-25,858.6519829704818,0.0,0.14434049748540434
2011-07-28,750.3465837810512,0.0,-0.03768877973734985
2011-06-30,779.7337991925876,0.0,0.0
2011-05-31,779.7337991925876,0.0,-0.07295357783876544
2011-04-28,841.094664250777,0.0,0.0834400744035273
2011-03-31,776.3185838532231,0.0,0.38775614534307334
2011-01-20,559.4056178085278,0.0,0.011478391326808612
2010-12-30,553.0574084481691,0.0,0.0
2010-11-30,553.0574084481691,0.0,0.0
2010-10-28,553.0574084481691,0.0,0.0
2010-09-30,553.0574084481691,0.0,0.0
2010-08-31,553.0574084481691,0.0,0.0
2010-07-29,553.0574084481691,0.0,-0.029891273887648673
2010-06-30,570.0983751218395,0.0,0.011007995072391807
2010-05-31,563.8910650563336,0.0,0.033655827418399786
2010-04-29,545.5307754271322,0.0,0.0
2010-03-31,545.5307754271322,0.0,-0.023332481118465087
2010-02-25,558.5634464959641,0.0,0.0
2010-01-28,558.5634464959641,0.0,-0.07141230726168946
2009-12-31,601.5193296917573,0.0,0.006175557317851688
2009-11-30,597.8274122412784,0.0,0.13339256365540275
2009-10-29,527.467208989949,0.0,0.0
2009-09-29,527.467208989949,0.0,0.0
2009-08-31,527.467208989949,0.0,0.0
2009-07-30,527.467208989949,0.0,-0.12065024563540727
2009-06-30,599.8377851041652,0.0,-0.04094872379850811
2009-05-28,625.4491287264001,0.0,0.0
2009-04-30,625.4491287264001,0.0,0.0
2009-03-31,625.4491287264001,0.0,-0.019939262572038263
2009-02-26,638.1738445800896,0.0,0.09049005666240828
2009-01-29,585.2174815177193,0.0,-0.012110936956938767
2008-12-31,592.3919025027309,0.0,-0.007871480645519902
2008-11-27,597.0918998358858,0.0,0.10297748775626103
2008-10-29,541.3455002155337,0.0,0.3128012407447551
2008-09-29,412.35907113282974,0.0,0.07360468047255941
