Date,Position,Equity,Debt
2012-05-10,0,680.9758467561214,0.0
2012-05-09,0,680.9758467561214,0.0
2012-05-08,0,680.9758467561214,0.0
2012-05-07,0,680.9758467561214,0.0
2012-05-03,0,680.9758467561214,0.0
2012-05-02,0,680.9758467561214,0.0
2012-04-30,0,680.9758467561214,0.0
2012-04-26,0,680.9758467561214,0.0
2012-04-24,0,680.9758467561214,0.0
2012-04-23,0,680.9758467561214,0.0
2012-04-19,-1,764.9125292598416,0.0
2012-04-18,-1,777.1965605058531,0.0
2012-04-17,-1,772.0172811924074,0.0
2012-04-12,-1,754.8056569436668,0.0
2012-04-11,-1,828.4319531405523,0.0
2012-04-10,-1,829.9194816576796,0.0
2012-04-09,-1,807.8314081804874,0.0
2012-04-05,-1,733.7574094816011,0.0
2012-04-04,-1,733.0429426758742,0.0
2012-04-03,0,733.0429426758742,0.0
2012-04-02,0,733.0429426758742,0.0
2012-03-29,0,733.0429426758742,0.0
2012-03-28,0,733.0429426758742,0.0
2012-03-27,0,733.0429426758742,0.0
2012-03-26,0,733.0429426758742,0.0
2012-03-22,0,733.0429426758742,0.0
2012-03-21,0,733.0429426758742,0.0
2012-03-20,0,733.0429426758742,0.0
2012-03-19,0,733.0429426758742,0.0
2012-03-15,0,733.0429426758742,0.0
2012-03-14,0,733.0429426758742,0.0
2012-03-13,0,733.0429426758742,0.0
2012-03-12,0,733.0429426758742,0.0
2012-03-08,0,733.0429426758742,0.0
2012-03-07,0,733.0429426758742,0.0
2012-03-06,0,733.0429426758742,0.0
2012-03-05,0,733.0429426758742,0.0
2012-03-01,0,733.0429426758742,0.0
2012-02-29,0,733.0429426758742,0.0
2012-02-28,0,733.0429426758742,0.0
2012-02-27,0,733.0429426758742,0.0
2012-02-23,0,733.0429426758742,0.0
2012-02-22,0,733.0429426758742,0.0
2012-02-21,0,733.0429426758742,0.0
2012-02-20,0,733.0429426758742,0.0
2012-02-16,0,733.0429426758742,0.0
2012-02-15,0,733.0429426758742,0.0
2012-02-14,0,733.0429426758742,0.0
2012-02-13,0,733.0429426758742,0.0
2012-02-09,0,733.0429426758742,0.0
2012-02-08,0,733.0429426758742,0.0
2012-02-07,0,733.0429426758742,0.0
2012-02-06,0,733.0429426758742,0.0
2012-02-02,0,733.0429426758742,0.0
2012-02-01,0,733.0429426758742,0.0
2012-01-31,0,733.0429426758742,0.0
2012-01-30,0,733.0429426758742,0.0
2012-01-26,0,733.0429426758742,0.0
2012-01-24,0,733.0429426758742,0.0
2012-01-19,0,733.0429426758742,0.0
2012-01-18,0,733.0429426758742,0.0
2012-01-17,0,733.0429426758742,0.0
2012-01-16,0,733.0429426758742,0.0
2012-01-12,0,733.0429426758742,0.0
2012-01-11,0,733.0429426758742,0.0
2012-01-10,0,733.0429426758742,0.0
2012-01-09,-1,799.0367591356326,0.0
2012-01-05,-1,796.9249246238425,0.0
2012-01-04,-1,774.4753206793005,0.0
2012-01-03,-1,780.3495748583057,0.0
2012-01-02,-1,767.0247533248396,0.0
2011-12-29,-1,785.6628302699091,0.0
2011-12-28,-1,842.585088711653,0.0
2011-12-27,0,842.585088711653,0.0
2011-12-21,0,842.585088711653,0.0
2011-12-20,0,842.585088711653,0.0
2011-12-19,0,842.585088711653,0.0
2011-12-15,0,842.585088711653,0.0
2011-12-14,0,842.585088711653,0.0
2011-12-13,0,842.585088711653,0.0
2011-12-12,0,842.585088711653,0.0
2011-12-08,0,842.585088711653,0.0
2011-12-07,0,842.585088711653,0.0
2011-12-06,0,842.585088711653,0.0
2011-12-05,0,842.585088711653,0.0
2011-12-01,0,842.585088711653,0.0
2011-11-30,0,842.585088711653,0.0
2011-11-29,0,842.585088711653,0.0
2011-11-24,-1,1053.9182011365053,0.0
2011-11-23,-1,1114.8056528678076,0.0
2011-11-22,-1,1205.288369802152,0.0
2011-11-21,-1,1033.088161971014,0.0
2011-11-17,0,1033.088161971014,0.0
2011-11-16,0,1033.088161971014,0.0
2011-11-15,0,1033.088161971014,0.0
2011-11-14,0,1033.088161971014,0.0
2011-11-10,0,1033.088161971014,0.0
2011-11-02,0,1033.088161971014,0.0
2011-11-01,0,1033.088161971014,0.0
2011-10-31,0,1033.088161971014,0.0
2011-10-27,0,1033.088161971014,0.0
2011-10-26,0,1033.088161971014,0.0
2011-10-25,0,1033.088161971014,0.0
2011-10-24,0,1033.088161971014,0.0
2011-10-20,0,1033.088161971014,0.0
2011-10-19,0,1033.088161971014,0.0
2011-10-18,-1,1065.805722292197,0.0
2011-10-17,-1,1040.0627895251826,0.0
2011-10-13,-1,1107.1174362937052,0.0
2011-10-12,-1,1184.6226509545716,0.0
2011-10-11,-1,1207.854768845125,0.0
2011-10-10,-1,1288.2991044880152,0.0
2011-10-05,-1,1280.9406695645603,0.0
2011-10-04,-1,1216.3987241096297,0.0
2011-10-03,-1,1177.2247126788627,0.0
2011-09-28,-1,1179.2870264476408,0.0
2011-09-26,-1,1041.5597895831695,0.0
2011-09-22,-1,1011.9997234548282,0.0
2011-09-21,-1,960.6043324208466,0.0
2011-09-20,-1,947.0885015373907,0.0
2011-09-19,-1,965.0018391675114,0.0
2011-09-15,-1,970.0579991435886,0.0
2011-09-14,-1,919.2008238358384,0.0
2011-09-13,-1,895.2341066493284,0.0
2011-09-12,-1,868.5161191773074,0.0
2011-09-08,-1,823.1330242615414,0.0
2011-09-07,-1,833.679678566279,0.0
2011-09-06,-1,832.706329449958,0.0
2011-09-05,-1,834.5005551393889,0.0
2011-08-25,-1,858.6519829704818,0.0
2011-08-24,-1,860.7963435892163,0.0
2011-08-23,-1,871.6122655601157,0.0
2011-08-22,-1,865.9813169937412,0.0
2011-08-18,-1,824.5354576627877,0.0
2011-08-17,-1,830.3709321780798,0.0
2011-08-16,-1,861.6407895854877,0.0
2011-08-11,-1,881.368934237257,0.0
2011-08-10,-1,858.3760222623374,0.0
2011-08-08,-1,838.2237303619632,0.0
2011-08-03,-1,768.70018203273,0.0
2011-08-02,-1,760.7777356419134,0.0
2011-08-01,-1,731.6631446126503,0.0
2011-07-28,-1,750.3465837810512,0.0
2011-07-27,-1,745.5605662656025,0.0
