Date,Equity,Peak,Drawdown
2012-04-20,81.5878822004,103.647166697,0.212830559673
2012-04-19,81.5878822004,103.647166697,0.212830559673
2012-04-18,81.5878822004,103.647166697,0.212830559673
2012-04-17,81.5878822004,103.647166697,0.212830559673
2012-04-16,81.5878822004,103.647166697,0.212830559673
2012-04-13,81.5878822004,103.647166697,0.212830559673
2012-04-12,81.5878822004,103.647166697,0.212830559673
2012-04-11,81.5878822004,103.647166697,0.212830559673
2012-04-10,81.5878822004,103.647166697,0.212830559673
2012-04-05,81.5878822004,103.647166697,0.212830559673
2012-04-04,81.5878822004,103.647166697,0.212830559673
2012-04-03,81.5878822004,103.647166697,0.212830559673
2012-04-02,81.5878822004,103.647166697,0.212830559673
2012-03-30,81.5878822004,103.647166697,0.212830559673
2012-03-29,81.5878822004,103.647166697,0.212830559673
2012-03-28,81.5878822004,103.647166697,0.212830559673
2012-03-27,81.5878822004,103.647166697,0.212830559673
2012-03-26,81.5878822004,103.647166697,0.212830559673
2012-03-23,81.5878822004,103.647166697,0.212830559673
2012-03-22,81.5878822004,103.647166697,0.212830559673
2012-03-21,81.5878822004,103.647166697,0.212830559673
2012-03-20,81.5878822004,103.647166697,0.212830559673
2012-03-19,81.5878822004,103.647166697,0.212830559673
2012-03-16,81.5878822004,103.647166697,0.212830559673
2012-03-15,81.5878822004,103.647166697,0.212830559673
2012-03-14,81.5878822004,103.647166697,0.212830559673
2012-03-13,81.5878822004,103.647166697,0.212830559673
2012-03-12,81.5878822004,103.647166697,0.212830559673
2012-03-09,81.5878822004,103.647166697,0.212830559673
2012-03-08,81.5878822004,103.647166697,0.212830559673
2012-03-07,81.5878822004,103.647166697,0.212830559673
2012-03-06,81.5878822004,103.647166697,0.212830559673
2012-03-05,81.5878822004,103.647166697,0.212830559673
2012-03-02,81.5878822004,103.647166697,0.212830559673
2012-03-01,81.5878822004,103.647166697,0.212830559673
2012-02-29,81.5878822004,103.647166697,0.212830559673
2012-02-28,81.5878822004,103.647166697,0.212830559673
2012-02-27,81.5878822004,103.647166697,0.212830559673
2012-02-24,81.5878822004,103.647166697,0.212830559673
2012-02-23,81.5878822004,103.647166697,0.212830559673
2012-02-22,81.5878822004,103.647166697,0.212830559673
2012-02-21,81.5878822004,103.647166697,0.212830559673
2012-02-20,81.5878822004,103.647166697,0.212830559673
2012-02-17,81.5878822004,103.647166697,0.212830559673
2012-02-16,81.5878822004,103.647166697,0.212830559673
2012-02-15,81.5878822004,103.647166697,0.212830559673
2012-02-14,81.5878822004,103.647166697,0.212830559673
2012-02-13,81.5878822004,103.647166697,0.212830559673
2012-02-10,81.5878822004,103.647166697,0.212830559673
2012-02-09,81.5878822004,103.647166697,0.212830559673
2012-02-08,81.5878822004,103.647166697,0.212830559673
2012-02-07,81.5878822004,103.647166697,0.212830559673
2012-02-06,81.5878822004,103.647166697,0.212830559673
2012-02-03,81.5878822004,103.647166697,0.212830559673
2012-02-02,81.5878822004,103.647166697,0.212830559673
2012-02-01,81.5878822004,103.647166697,0.212830559673
2012-01-31,81.5878822004,103.647166697,0.212830559673
2012-01-30,81.5878822004,103.647166697,0.212830559673
2012-01-27,81.5878822004,103.647166697,0.212830559673
2012-01-26,81.5878822004,103.647166697,0.212830559673
2012-01-25,81.5878822004,103.647166697,0.212830559673
2012-01-24,81.5878822004,103.647166697,0.212830559673
2012-01-23,81.5878822004,103.647166697,0.212830559673
2012-01-20,81.5878822004,103.647166697,0.212830559673
2012-01-19,81.5878822004,103.647166697,0.212830559673
2012-01-18,81.5878822004,103.647166697,0.212830559673
2012-01-17,81.5878822004,103.647166697,0.212830559673
2012-01-16,81.5878822004,103.647166697,0.212830559673
2012-01-13,81.5878822004,103.647166697,0.212830559673
2012-01-12,81.5878822004,103.647166697,0.212830559673
2012-01-11,81.5878822004,103.647166697,0.212830559673
2012-01-10,81.5878822004,103.647166697,0.212830559673
2012-01-09,81.5878822004,103.647166697,0.212830559673
2012-01-06,81.5878822004,103.647166697,0.212830559673
2012-01-05,81.5878822004,103.647166697,0.212830559673
2012-01-04,81.5878822004,103.647166697,0.212830559673
2012-01-03,81.5878822004,103.647166697,0.212830559673
2011-12-30,81.5878822004,103.647166697,0.212830559673
2011-12-29,81.5878822004,103.647166697,0.212830559673
2011-12-28,81.5878822004,103.647166697,0.212830559673
2011-12-23,81.5878822004,103.647166697,0.212830559673
2011-12-22,81.5878822004,103.647166697,0.212830559673
2011-12-21,81.5878822004,103.647166697,0.212830559673
2011-12-20,81.5878822004,103.647166697,0.212830559673
2011-12-19,81.5878822004,103.647166697,0.212830559673
2011-12-16,81.5878822004,103.647166697,0.212830559673
2011-12-15,81.5878822004,103.647166697,0.212830559673
2011-12-14,81.5878822004,103.647166697,0.212830559673
2011-12-13,81.5878822004,103.647166697,0.212830559673
2011-12-12,81.5878822004,103.647166697,0.212830559673
2011-12-09,81.5878822004,103.647166697,0.212830559673
2011-12-08,81.5878822004,103.647166697,0.212830559673
2011-12-07,81.5878822004,103.647166697,0.212830559673
2011-12-06,81.5878822004,103.647166697,0.212830559673
2011-12-05,81.5878822004,103.647166697,0.212830559673
2011-12-02,81.5878822004,103.647166697,0.212830559673
2011-12-01,81.5878822004,103.647166697,0.212830559673
2011-11-30,81.5878822004,103.647166697,0.212830559673
2011-11-29,81.5878822004,103.647166697,0.212830559673
2011-11-28,81.5878822004,103.647166697,0.212830559673
2011-11-25,81.5878822004,103.647166697,0.212830559673
2011-11-24,81.5878822004,103.647166697,0.212830559673
2011-11-23,81.5878822004,103.647166697,0.212830559673
2011-11-22,81.5878822004,103.647166697,0.212830559673
2011-11-21,81.5878822004,103.647166697,0.212830559673
2011-11-18,81.5878822004,103.647166697,0.212830559673
2011-11-17,81.5878822004,103.647166697,0.212830559673
2011-11-16,81.5878822004,103.647166697,0.212830559673
2011-11-15,81.5878822004,103.647166697,0.212830559673
2011-11-14,81.5878822004,103.647166697,0.212830559673
2011-11-11,81.5878822004,103.647166697,0.212830559673
2011-11-10,81.5878822004,103.647166697,0.212830559673
2011-11-09,81.5878822004,103.647166697,0.212830559673
2011-11-08,81.5878822004,103.647166697,0.212830559673
2011-11-07,81.5878822004,103.647166697,0.212830559673
2011-11-04,81.5878822004,103.647166697,0.212830559673
2011-11-03,81.5878822004,103.647166697,0.212830559673
2011-11-02,81.5878822004,103.647166697,0.212830559673
2011-11-01,81.5878822004,103.647166697,0.212830559673
2011-10-31,81.5878822004,103.647166697,0.212830559673
2011-10-28,81.5878822004,103.647166697,0.212830559673
2011-10-27,81.5878822004,103.647166697,0.212830559673
2011-10-26,81.5878822004,103.647166697,0.212830559673
2011-10-25,81.5878822004,103.647166697,0.212830559673
2011-10-24,81.5878822004,103.647166697,0.212830559673
