Date,EWATR_20
2012-05-10,16.666987263714468
2012-05-09,17.938249080947568
2012-05-08,18.737012142099942
2012-05-07,17.929329209689413
2012-05-03,18.99662702123567
2012-05-02,19.386798286628906
2012-04-30,21.372777053642476
2012-04-26,23.240437796131157
2012-04-24,23.844694406250227
2012-04-23,19.562030659539715
2012-04-19,20.658033886859688
2012-04-18,22.42098482231859
2012-04-17,23.349509540457397
2012-04-12,20.683142123663444
2012-04-11,22.75715708404907
2012-04-10,23.53475256658055
2012-04-09,19.36788441569429
2012-04-05,21.34239856471474
2012-04-04,21.547914203105766
2012-04-03,23.012957803432688
2012-04-02,22.66484809853086
2012-03-29,24.39693737206043
2012-03-28,25.93240446385627
2012-03-27,26.66213124952535
2012-03-26,21.73288190737012
2012-03-22,23.73213263446171
2012-03-21,24.790251859141883
2012-03-20,25.72290994957788
2012-03-19,24.377953102165023
2012-03-15,24.81457974449818
2012-03-14,26.20243024391904
2012-03-13,23.23531763801578
2012-03-12,20.56956159991218
2012-03-08,20.69477861042924
2012-03-07,22.33317635889546
2012-03-06,22.151405449305518
2012-03-05,24.169448128179777
2012-03-01,25.618863720619757
2012-02-29,24.599796743842884
2012-02-28,27.00188061161582
2012-02-27,26.833657518101695
2012-02-23,25.540358309480823
2012-02-22,27.739343394689335
2012-02-21,27.04980059413031
2012-02-20,24.713990130354553
2012-02-16,26.4880943546024
2012-02-15,27.83420954982371
2012-02-14,30.596757923489374
2012-02-13,21.84062717859351
2012-02-09,23.220693197392837
2012-02-08,22.186029323434184
2012-02-07,22.491927146953575
2012-02-06,23.484761583475013
2012-02-02,22.370525960682905
2012-02-01,24.164265535491626
2012-01-31,23.24681980238548
2012-01-30,23.171748202636586
2012-01-26,16.64666906607202
2012-01-24,13.155792125658548
2012-01-19,13.098507086254186
2012-01-18,13.390981516386205
2012-01-17,13.41003220232159
2012-01-16,13.20477243414492
2012-01-12,14.240011637739121
2012-01-11,14.806328652237973
2012-01-10,13.649100089315652
2012-01-09,14.998479046085722
2012-01-05,15.593055787778953
2012-01-04,16.98074587070305
2012-01-03,18.17240333077705
2012-01-02,19.29055104980621
2011-12-29,19.201135370838447
2011-12-28,19.885465409874072
2011-12-27,18.71130387407134
2011-12-21,20.283020071342012
2011-12-20,19.118074815693802
2011-12-19,17.279977427872097
2011-12-15,18.99892242027969
2011-12-14,20.476703727677553
2011-12-13,21.817409383222557
2011-12-12,21.927663002509146
2011-12-08,23.543206476457478
2011-12-07,24.89722821082142
2011-12-06,26.569568022486834
2011-12-05,27.278996235380184
2011-12-01,28.172574786472836
2011-11-30,29.506530027154188
2011-11-29,25.32511213527568
2011-11-24,26.108808149515227
2011-11-23,26.450787954727353
2011-11-22,22.823502476277596
2011-11-21,16.331239579043658
2011-11-17,16.515580587364045
2011-11-16,17.909852228139208
2011-11-15,19.69088930478544
2011-11-14,14.221509231604962
2011-11-10,15.061668098089696
2011-11-02,16.369212108414928
2011-11-01,15.979655488248087
2011-10-31,15.190145539642632
2011-10-27,15.811213491183953
2011-10-26,16.532393858676997
2011-10-25,17.8284353174851
2011-10-24,19.01353377195722
2011-10-20,20.852853116373762
2011-10-19,21.419469233886794
2011-10-18,22.32783441640119
2011-10-17,21.571816986548683
2011-10-13,20.693060879869595
2011-10-12,21.96285676196113
2011-10-11,21.498946947430724
2011-10-10,23.505151889265534
2011-10-05,23.474115246030326
2011-10-04,24.319811587717727
2011-10-03,26.79452859695117
2011-09-28,22.18553160715656
2011-09-26,22.830324407909874
2011-09-22,21.96193750347934
2011-09-21,23.388457240687696
2011-09-20,24.719873792339044
