Date,EWMA_25,EWMA_350
2012-05-10,641.1808042340903,925.1050248390757
2012-05-09,639.286704586931,926.6018444656606
2012-05-08,636.8522633025086,928.0809381302203
2012-05-07,635.077451911051,929.6278202971556
2012-05-03,635.3555729036384,931.3349138232138
2012-05-02,636.3060373122748,933.0964319540059
2012-04-30,636.061540421631,934.7804229680689
2012-04-26,635.8400021234336,936.4770443031296
2012-04-24,635.9025023003863,938.2041906888209
2012-04-23,634.5118774920852,939.8409482285849
2012-04-19,638.3828672830922,941.8568848946513
2012-04-18,643.3389395566832,943.9368097364545
2012-04-17,648.38218451974,946.0062470415345
2012-04-12,652.7123665630515,948.0096066234345
2012-04-11,661.4600637766391,950.3034152573797
2012-04-10,671.0184024246923,952.6159849723217
2012-04-09,680.0924359600833,954.853727006547
2012-04-05,684.662638956757,956.7425735796505
2012-04-04,689.5628588698199,958.6387487864107
2012-04-03,693.2555971089715,960.434672848224
2012-04-02,696.6202302013858,962.1971638101049
2012-03-29,698.0719160515011,963.8189240611657
2012-03-28,699.1270757224596,965.4143906746968
2012-03-27,701.0876653659979,967.07521812842
2012-03-26,704.7949708131642,968.8544457394712
2012-03-22,702.6870517142612,970.2227233654854
2012-03-21,700.1751393571163,971.5831401182962
2012-03-20,698.5939009702093,973.0297483711231
2012-03-19,698.2083927177268,974.5759360408717
2012-03-15,694.5824254442041,975.9103540124527
2012-03-14,692.3401275645545,977.3683503105183
2012-03-13,690.8801381949339,978.9013494526989
2012-03-12,684.7659830445117,980.1314431458377
2012-03-08,674.0956482982209,981.0903052842093
2012-03-07,660.9211189897393,981.9436021626288
2012-03-06,647.0762122388842,982.8311872753087
2012-03-05,634.0825632587912,983.8617384917861
2012-03-01,619.7577768636904,984.8811180819969
2012-02-29,605.1059249356646,985.9659382429253
2012-02-28,592.1747520136365,987.2592674019106
2012-02-27,578.3143146814396,988.57020876238
2012-02-23,565.6821742382261,990.0525595289267
2012-02-22,555.257355424745,991.7675885233618
2012-02-21,543.5763017101403,993.4657981997135
2012-02-20,528.064326852652,994.9772354386804
2012-02-16,515.3630207570396,996.7795118595325
2012-02-15,500.948272486793,998.54707353208
2012-02-14,484.190628527359,1000.2462544692268
2012-02-13,466.1690142379722,1001.9642845807982
2012-02-09,456.12726542446984,1004.3441945210893
2012-02-08,445.9762042098423,1006.7877715670554
2012-02-07,437.7333878939958,1009.4347502006775
2012-02-06,430.4103368851621,1012.2073848723146
2012-02-02,421.38869829225894,1014.9210661609812
2012-02-01,408.7760898166139,1017.4550550788092
2012-01-31,395.55659730133164,1020.0341098357079
2012-01-30,383.9754804097759,1022.816368344795
2012-01-26,373.42593711059055,1025.7518776189772
2012-01-24,369.0939318698064,1029.192232218513
2012-01-19,368.55175952562354,1032.937746443261
2012-01-18,366.8227394860922,1036.6262149042539
2012-01-17,365.8096344432665,1040.39496112147
2012-01-16,365.81293731353867,1044.2610067439427
2012-01-12,367.0965154230002,1048.237230278292
2012-01-11,368.7678917082502,1052.2555525148437
2012-01-10,371.3168826839377,1056.3476760249573
2012-01-09,376.22828957426583,1060.6111011024643
2012-01-05,381.47981370545466,1064.8942019683811
2012-01-04,386.3897981809092,1069.1482661630425
2012-01-03,391.9097813626516,1073.4405198373292
2012-01-02,397.41809647620585,1077.7249354237895
2011-12-29,404.0146045158897,1082.0771700107452
2011-12-28,412.8391548922138,1086.5697612428985
2011-12-27,421.3407511332316,1091.015318613918
2011-12-21,427.9641470610009,1095.30847230225
2011-12-20,434.82449264941766,1099.6045666993978
2011-12-19,439.64403370353574,1103.7456243882195
2011-12-15,441.816869845497,1107.7007855594989
2011-12-14,444.24994233262174,1111.6840565369173
2011-12-13,447.29910419367354,1115.7185783508826
2011-12-12,451.24736287647966,1119.8205759345553
2011-12-08,453.7938097828529,1123.8270548797389
2011-12-07,456.0041272647573,1127.8187858532617
2011-12-06,457.50863787015373,1131.7721886375211
2011-12-05,459.8893576926665,1135.799880262951
2011-12-01,460.815970833722,1139.7370142472662
2011-11-30,463.3856350698655,1143.8043896870786
2011-11-29,467.4611046590209,1147.983899083566
2011-11-24,477.64536338060594,1152.5840933476552
2011-11-23,490.1683103289897,1157.3131139399054
2011-11-22,505.63983618973884,1162.2002378020252
2011-11-21,517.3248225388837,1166.7663136633548
2011-11-17,522.9418910837907,1170.8743154608526
2011-11-16,527.8120486741064,1174.9223058073333
2011-11-15,533.3605527302819,1179.0122330612435
2011-11-14,539.4539321244721,1183.1312716461216
2011-11-10,540.0842598015114,1186.8633133174462
2011-11-02,540.2471147849707,1190.5809827347382
2011-11-01,540.6435410170516,1194.3350857876594
2011-10-31,539.4005027684725,1197.995687998477
2011-10-27,540.0105446658451,1201.8118237463193
2011-10-26,541.4455900546656,1205.7030662892782
2011-10-25,542.2535558925543,1209.5652615115664
2011-10-24,543.4805188836006,1213.4737730388533
2011-10-20,545.3572287905672,1217.4423333428008
2011-10-19,547.5186645231145,1221.4424613275733
2011-10-18,551.1493865667073,1225.554165977015
2011-10-17,554.0168354472663,1229.6161382748774
2011-10-13,559.5824050678718,1233.8705000988023
2011-10-12,568.1051054901945,1238.3207035377638
2011-10-11,578.0571976143774,1242.8458651626222
2011-10-10,591.0361307489088,1247.548076424299
2011-10-05,604.8933083113179,1252.263251647361
2011-10-04,617.921917337261,1256.8690582470592
2011-10-03,630.749577115366,1261.4127777785611
2011-09-28,644.7137085416465,1265.9871776512177
2011-09-26,653.959850920117,1270.183321935752
2011-09-22,662.6381718301267,1274.3114785084497
2011-09-21,669.4496861493038,1278.285183256349
